,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
41679,юр. лицо,списание средств,544.8,наличный,Брест,Беларусбанк-KOVY-232,17-04-2016,12:15:08,неправильный ввод пин-кода,да,44.71
41684,юр. лицо,списание средств,928.87,наличный,Минск,Приорбанк-KZVH-166,25-03-2007,13:27:09,успешно,да,56.52
41688,юр. лицо,получение средств,606.04,безналичный,Гомель,Беларусбанк-SGSA-127,28-07-2002,14:56:05,успешно,нет,0.0
41693,физ. лицо,списание средств,596.52,безналичный,Гомель,Беларусбанк-UUOA-636,29-01-2009,04:16:27,успешно,нет,0.0
41695,физ. лицо,списание средств,305.48,безналичный,Гомель,МаксБанк-LPLT-318,17-11-2011,17:53:41,успешно,да,4.78
41703,юр. лицо,получение средств,378.15,наличный,Гомель,МаксБанк-FGSH-107,09-12-2005,23:55:38,успешно,нет,0.0
41710,юр. лицо,получение средств,284.18,наличный,Гродно,Беларусбанк-ANYS-632,28-02-2013,05:05:55,успешно,нет,0.0
41715,физ. лицо,получение средств,439.95,безналичный,Гродно,МаксБанк-WTGW-383,31-12-2024,05:12:20,успешно,нет,0.0
41722,юр. лицо,списание средств,176.41,безналичный,Могилев,Беларусбанк-MYWJ-636,09-06-2004,06:58:29,успешно,да,17.05
41733,юр. лицо,получение средств,785.7,безналичный,Гомель,Приорбанк-GRQC-136,01-02-2021,20:36:20,успешно,нет,0.0
41735,юр. лицо,списание средств,254.46,наличный,Минск,Приорбанк-YDRK-883,21-10-2003,03:25:42,успешно,да,24.06
41740,юр. лицо,получение средств,134.37,наличный,Гомель,Беларусбанк-DOJG-904,07-05-2009,21:28:42,успешно,нет,0.0
41741,физ. лицо,получение средств,432.06,наличный,Могилев,Беларусбанк-TGMW-962,17-04-2004,06:18:42,успешно,нет,0.0
41749,юр. лицо,списание средств,614.44,наличный,Гродно,МаксБанк-JJTT-251,30-05-2016,13:28:11,неправильный ввод пин-кода,да,23.19
41762,физ. лицо,списание средств,593.43,безналичный,Брест,МаксБанк-BCKF-518,27-02-2017,20:25:01,недостаточно средств,нет,0.0
41763,юр. лицо,получение средств,841.99,наличный,Гродно,МаксБанк-MUUV-895,21-11-2013,14:16:47,успешно,нет,0.0
41766,физ. лицо,получение средств,71.88,наличный,Гомель,Белинвестбанк-WWOI-291,08-08-2018,14:12:11,успешно,нет,0.0
41769,физ. лицо,получение средств,250.56,наличный,Могилев,Белинвестбанк-SDTC-996,20-10-2013,15:51:23,успешно,нет,0.0
41771,физ. лицо,списание средств,360.23,наличный,Гродно,Беларусбанк-IQLJ-527,11-01-2017,23:03:44,успешно,да,14.3
41775,физ. лицо,получение средств,25.63,наличный,Гродно,Беларусбанк-YCQN-912,30-04-2000,04:27:16,успешно,нет,0.0
41779,юр. лицо,списание средств,42.63,наличный,Гродно,МаксБанк-LFUE-553,26-05-2007,11:59:09,недостаточно средств,да,0.93
41781,физ. лицо,списание средств,685.74,наличный,Брест,МаксБанк-QSGG-082,25-12-2020,11:56:38,недостаточно средств,нет,0.0
41790,физ. лицо,получение средств,152.25,безналичный,Витебск,БелАгропромбанк-AAKV-213,30-10-2018,06:31:15,успешно,нет,0.0
41795,юр. лицо,списание средств,309.12,безналичный,Гомель,Беларусбанк-FKQR-257,15-12-2000,09:19:32,неправильный ввод пин-кода,да,21.1
41800,юр. лицо,получение средств,129.53,безналичный,Гродно,МаксБанк-DRJU-612,26-09-2007,07:17:45,успешно,нет,0.0
41802,юр. лицо,списание средств,217.71,безналичный,Минск,БелАгропромбанк-JJFD-163,25-05-2021,13:35:04,недостаточно средств,да,2.61
41804,физ. лицо,списание средств,344.46,безналичный,Витебск,БелАгропромбанк-KDYM-375,22-09-2008,00:11:54,неправильный ввод пин-кода,да,5.47
41817,физ. лицо,списание средств,999.2,наличный,Витебск,Беларусбанк-FRFT-708,02-06-2011,13:32:52,недостаточно средств,да,89.6
41818,физ. лицо,получение средств,955.98,наличный,Минск,МаксБанк-ZMGQ-353,16-04-2008,09:47:57,успешно,нет,0.0
41819,юр. лицо,списание средств,304.85,наличный,Гомель,Приорбанк-HYQE-593,18-02-2017,21:55:04,недостаточно средств,да,24.07
41827,физ. лицо,списание средств,635.04,наличный,Гомель,Беларусбанк-VGNN-152,28-09-2012,07:00:04,успешно,да,33.78
41833,физ. лицо,списание средств,356.95,наличный,Минск,МаксБанк-YKLE-267,31-12-2000,14:29:16,успешно,нет,0.0
41849,юр. лицо,списание средств,112.46,безналичный,Гомель,МаксБанк-EJCX-864,07-07-2010,22:12:47,неправильный ввод пин-кода,да,1.62
41855,физ. лицо,списание средств,497.48,безналичный,Гомель,Белинвестбанк-BBZW-872,28-12-2021,21:19:53,недостаточно средств,нет,0.0
41857,юр. лицо,получение средств,793.34,наличный,Гродно,Приорбанк-WOOC-387,26-10-2004,00:35:32,успешно,нет,0.0
41863,физ. лицо,получение средств,727.75,безналичный,Витебск,МаксБанк-CWFI-003,15-02-2021,10:25:55,успешно,нет,0.0
41865,юр. лицо,получение средств,26.79,безналичный,Брест,Приорбанк-HSGP-780,25-02-2021,12:34:36,успешно,нет,0.0
41867,юр. лицо,списание средств,645.25,наличный,Брест,Приорбанк-DPOZ-890,16-09-2020,07:14:51,недостаточно средств,да,48.35
41869,юр. лицо,получение средств,241.35,наличный,Минск,БелАгропромбанк-LKSG-452,28-06-2007,04:29:36,успешно,нет,0.0
41870,юр. лицо,получение средств,553.14,наличный,Могилев,Белинвестбанк-DZXH-588,17-06-2005,23:00:57,успешно,нет,0.0
41878,юр. лицо,списание средств,580.2,наличный,Гомель,Белинвестбанк-LCAO-828,17-02-2024,03:02:43,неправильный ввод пин-кода,да,25.14
41884,юр. лицо,списание средств,863.42,наличный,Гомель,БелАгропромбанк-EKKP-118,31-12-2023,11:40:33,недостаточно средств,нет,0.0
41888,юр. лицо,списание средств,263.0,безналичный,Гомель,Приорбанк-CFDF-175,19-10-2005,08:31:49,неправильный ввод пин-кода,да,12.34
41890,юр. лицо,получение средств,988.79,безналичный,Брест,Приорбанк-QOBL-747,01-07-2002,01:08:36,успешно,нет,0.0
41892,юр. лицо,списание средств,51.28,безналичный,Гомель,Белинвестбанк-YEZQ-389,23-01-2013,09:39:04,недостаточно средств,нет,0.0
41896,юр. лицо,списание средств,156.99,безналичный,Могилев,Приорбанк-QNJO-455,11-08-2011,11:50:49,успешно,нет,0.0
41902,физ. лицо,списание средств,794.91,безналичный,Брест,МаксБанк-UQIN-319,25-12-2003,07:01:30,успешно,нет,0.0
41903,физ. лицо,получение средств,679.54,безналичный,Минск,БелАгропромбанк-NEMF-253,26-03-2004,13:26:31,успешно,нет,0.0
41913,юр. лицо,получение средств,857.02,безналичный,Минск,Белинвестбанк-ACML-702,08-05-2010,13:53:53,успешно,нет,0.0
41920,физ. лицо,получение средств,259.22,безналичный,Минск,Беларусбанк-ZMIL-688,09-04-2023,20:48:56,успешно,нет,0.0
41921,юр. лицо,списание средств,359.45,наличный,Витебск,БелАгропромбанк-ITLX-165,01-10-2007,02:10:59,недостаточно средств,нет,0.0
41928,физ. лицо,списание средств,501.37,безналичный,Гомель,Беларусбанк-WUXP-918,19-02-2020,21:28:47,неправильный ввод пин-кода,да,16.65
41949,юр. лицо,получение средств,314.49,наличный,Минск,Белинвестбанк-QYNH-685,26-09-2012,13:06:45,успешно,нет,0.0
41956,физ. лицо,списание средств,755.53,безналичный,Минск,Беларусбанк-DUDS-997,07-04-2013,04:20:22,успешно,нет,0.0
41959,юр. лицо,списание средств,361.92,наличный,Минск,Белинвестбанк-EVAE-619,07-09-2017,09:27:38,недостаточно средств,да,20.87
41968,юр. лицо,списание средств,863.31,безналичный,Гомель,МаксБанк-PGAN-174,29-10-2024,02:35:42,неправильный ввод пин-кода,да,61.24
41969,юр. лицо,получение средств,455.19,наличный,Минск,Беларусбанк-RREC-483,15-09-2021,16:06:12,успешно,нет,0.0
41972,физ. лицо,получение средств,515.31,безналичный,Могилев,Белинвестбанк-ZIJX-067,29-11-2023,21:29:24,успешно,нет,0.0
41973,юр. лицо,списание средств,46.79,наличный,Гродно,Приорбанк-UOFJ-715,01-11-2006,11:42:00,неправильный ввод пин-кода,нет,0.0
41976,юр. лицо,получение средств,609.67,безналичный,Гродно,МаксБанк-TLIY-428,24-02-2020,05:54:48,успешно,нет,0.0
41984,юр. лицо,получение средств,331.48,безналичный,Гомель,МаксБанк-QXST-953,01-07-2015,15:37:55,успешно,нет,0.0
41994,физ. лицо,списание средств,627.13,наличный,Брест,БелАгропромбанк-AQCW-046,25-12-2009,22:01:34,успешно,да,27.68
42006,юр. лицо,получение средств,468.03,безналичный,Гомель,БелАгропромбанк-BILQ-019,02-06-2023,20:45:10,успешно,нет,0.0
42008,юр. лицо,списание средств,290.4,безналичный,Брест,Приорбанк-YAXI-485,28-11-2010,17:12:06,недостаточно средств,нет,0.0
42010,физ. лицо,списание средств,597.97,безналичный,Витебск,МаксБанк-LHBS-506,18-03-2001,10:37:47,успешно,нет,0.0
42018,юр. лицо,получение средств,206.45,наличный,Брест,МаксБанк-FKJW-986,14-05-2005,09:44:16,успешно,нет,0.0
42021,физ. лицо,списание средств,245.42,безналичный,Могилев,БелАгропромбанк-RKIP-857,10-08-2022,21:40:38,недостаточно средств,да,23.93
42022,юр. лицо,списание средств,713.46,безналичный,Минск,БелАгропромбанк-AIAI-145,04-07-2014,19:00:42,недостаточно средств,нет,0.0
42031,юр. лицо,получение средств,508.95,безналичный,Гродно,МаксБанк-HSIY-484,24-10-2000,10:28:19,успешно,нет,0.0
42033,юр. лицо,списание средств,623.18,безналичный,Гродно,Беларусбанк-QUFR-283,20-11-2013,14:52:22,успешно,да,20.43
42035,юр. лицо,получение средств,853.35,безналичный,Минск,БелАгропромбанк-SRWS-764,23-10-2014,12:49:02,успешно,нет,0.0
42038,физ. лицо,получение средств,124.01,безналичный,Гомель,Белинвестбанк-NJZK-277,26-06-2009,13:30:25,успешно,нет,0.0
42042,физ. лицо,списание средств,757.58,безналичный,Брест,БелАгропромбанк-KIPD-248,12-08-2020,07:23:51,недостаточно средств,нет,0.0
42052,физ. лицо,списание средств,892.03,наличный,Гродно,МаксБанк-GCJM-335,13-02-2012,02:31:59,недостаточно средств,да,67.54
42054,юр. лицо,списание средств,236.83,безналичный,Гродно,Приорбанк-WMYU-754,24-10-2000,11:09:21,недостаточно средств,нет,0.0
42059,юр. лицо,списание средств,689.98,безналичный,Гомель,МаксБанк-HNSP-812,09-12-2003,19:13:31,успешно,нет,0.0
42065,юр. лицо,получение средств,888.21,безналичный,Гродно,Приорбанк-AGHT-922,26-11-2015,13:04:54,успешно,нет,0.0
42070,физ. лицо,списание средств,997.31,наличный,Минск,Беларусбанк-VJMC-582,03-09-2010,22:02:19,недостаточно средств,нет,0.0
42072,физ. лицо,списание средств,528.57,наличный,Гродно,БелАгропромбанк-QKNP-539,08-12-2022,11:47:26,недостаточно средств,да,28.32
42074,юр. лицо,списание средств,884.64,наличный,Гомель,Приорбанк-QEPW-983,09-11-2018,13:39:16,успешно,нет,0.0
42076,физ. лицо,списание средств,766.9,наличный,Витебск,Белинвестбанк-ZKLE-511,17-02-2001,19:57:38,недостаточно средств,да,65.83
42080,физ. лицо,получение средств,924.03,безналичный,Брест,Приорбанк-AUFK-505,02-09-2002,09:56:45,успешно,нет,0.0
42081,физ. лицо,списание средств,153.98,наличный,Витебск,БелАгропромбанк-XXSL-986,16-10-2013,14:10:29,недостаточно средств,нет,0.0
42103,физ. лицо,получение средств,714.38,наличный,Витебск,Беларусбанк-UEDM-292,11-10-2000,01:17:20,успешно,нет,0.0
42107,физ. лицо,получение средств,96.0,безналичный,Гомель,МаксБанк-ACQJ-482,27-03-2003,17:56:51,успешно,нет,0.0
42110,физ. лицо,списание средств,790.58,безналичный,Могилев,БелАгропромбанк-RVAI-474,24-11-2008,14:15:40,недостаточно средств,да,78.93
42111,физ. лицо,получение средств,121.65,наличный,Гродно,Белинвестбанк-VMYU-908,30-04-2006,23:29:15,успешно,нет,0.0
42113,юр. лицо,получение средств,711.31,безналичный,Минск,БелАгропромбанк-VKIL-697,05-01-2012,07:57:26,успешно,нет,0.0
42114,юр. лицо,списание средств,807.85,наличный,Витебск,Приорбанк-GGBH-836,03-05-2014,04:52:16,успешно,да,37.24
42122,физ. лицо,списание средств,778.52,наличный,Минск,БелАгропромбанк-RRYP-846,09-02-2019,05:00:44,успешно,да,61.67
42131,физ. лицо,получение средств,663.94,безналичный,Минск,Беларусбанк-SAUL-827,05-08-2001,16:54:27,успешно,нет,0.0
42133,юр. лицо,списание средств,557.42,наличный,Витебск,БелАгропромбанк-JSWW-970,26-05-2013,08:29:23,неправильный ввод пин-кода,да,42.49
42138,физ. лицо,получение средств,406.84,наличный,Витебск,БелАгропромбанк-GDEP-566,26-01-2004,19:52:27,успешно,нет,0.0
42149,юр. лицо,получение средств,458.81,наличный,Могилев,Белинвестбанк-PFVH-277,25-12-2002,14:40:34,успешно,нет,0.0
42158,юр. лицо,получение средств,583.35,наличный,Могилев,МаксБанк-YFGE-888,02-03-2019,19:58:37,успешно,нет,0.0
42162,юр. лицо,списание средств,33.76,безналичный,Гродно,МаксБанк-ENKH-402,25-11-2023,09:40:05,недостаточно средств,да,1.25
42169,юр. лицо,получение средств,832.67,наличный,Минск,БелАгропромбанк-FLKR-174,30-09-2020,06:33:58,успешно,нет,0.0
42170,юр. лицо,получение средств,159.49,безналичный,Могилев,Белинвестбанк-NSBZ-361,04-02-2000,11:36:12,успешно,нет,0.0
42177,физ. лицо,списание средств,971.11,безналичный,Брест,Беларусбанк-KOWR-312,17-10-2014,00:26:25,успешно,да,60.57
42178,физ. лицо,получение средств,606.67,безналичный,Гродно,МаксБанк-MVSC-443,21-12-2024,08:07:37,успешно,нет,0.0
42181,юр. лицо,списание средств,836.98,безналичный,Минск,БелАгропромбанк-FBYD-666,28-11-2016,00:59:58,успешно,да,27.5
42182,физ. лицо,получение средств,881.17,безналичный,Гродно,Приорбанк-GIKG-075,09-12-2015,06:33:49,успешно,нет,0.0
42195,юр. лицо,получение средств,54.92,безналичный,Могилев,МаксБанк-KXIK-316,22-01-2003,12:51:03,успешно,нет,0.0
42197,физ. лицо,получение средств,739.05,безналичный,Могилев,БелАгропромбанк-FVON-131,07-03-2018,07:42:22,успешно,нет,0.0
42199,юр. лицо,списание средств,718.14,безналичный,Витебск,МаксБанк-ALMU-440,05-07-2006,15:59:25,успешно,да,39.6
42203,физ. лицо,получение средств,797.86,безналичный,Витебск,МаксБанк-MGWV-113,03-05-2005,09:38:58,успешно,нет,0.0
42205,физ. лицо,списание средств,866.34,наличный,Гомель,БелАгропромбанк-QPWT-482,23-05-2009,20:32:55,успешно,нет,0.0
42206,физ. лицо,списание средств,444.62,безналичный,Гомель,Приорбанк-JKXX-891,02-06-2006,03:23:29,успешно,да,11.43
42209,физ. лицо,получение средств,647.31,наличный,Могилев,Беларусбанк-MKFN-729,23-01-2004,13:49:48,успешно,нет,0.0
42212,физ. лицо,получение средств,642.45,наличный,Гомель,МаксБанк-ZZGR-447,11-10-2002,10:28:46,успешно,нет,0.0
42215,юр. лицо,списание средств,839.31,наличный,Минск,Белинвестбанк-SVFF-977,23-09-2010,00:26:12,неправильный ввод пин-кода,да,14.9
42217,юр. лицо,списание средств,251.39,наличный,Минск,Белинвестбанк-MNCQ-674,06-07-2005,05:32:43,недостаточно средств,нет,0.0
42226,юр. лицо,получение средств,173.18,наличный,Витебск,Белинвестбанк-SLSO-382,29-11-2018,13:56:38,успешно,нет,0.0
42227,физ. лицо,получение средств,824.09,наличный,Брест,Приорбанк-WRTF-137,22-10-2003,09:31:19,успешно,нет,0.0
42229,физ. лицо,списание средств,151.62,безналичный,Гродно,Приорбанк-SIDN-355,06-04-2019,16:44:24,недостаточно средств,да,5.8
42233,физ. лицо,получение средств,342.15,безналичный,Гродно,МаксБанк-OIEX-239,13-02-2000,11:45:20,успешно,нет,0.0
42238,физ. лицо,получение средств,144.79,безналичный,Витебск,Белинвестбанк-UDKJ-820,02-03-2003,16:05:09,успешно,нет,0.0
42240,физ. лицо,получение средств,169.57,безналичный,Гродно,Приорбанк-UGMC-531,30-10-2021,09:45:49,успешно,нет,0.0
42243,физ. лицо,получение средств,663.33,безналичный,Могилев,БелАгропромбанк-XITI-986,10-12-2005,00:15:51,успешно,нет,0.0
42244,физ. лицо,списание средств,335.59,наличный,Могилев,Белинвестбанк-QIZS-957,25-12-2010,16:08:55,успешно,да,32.75
42245,юр. лицо,списание средств,434.77,наличный,Гомель,Приорбанк-MBKK-523,28-07-2015,06:29:08,неправильный ввод пин-кода,нет,0.0
42251,физ. лицо,списание средств,644.86,наличный,Витебск,МаксБанк-FIBC-759,14-12-2019,12:50:48,недостаточно средств,да,15.75
42253,физ. лицо,списание средств,361.72,безналичный,Гомель,МаксБанк-VSNQ-578,05-08-2001,17:25:20,успешно,да,27.03
42263,физ. лицо,получение средств,848.2,наличный,Гомель,БелАгропромбанк-SNHS-965,14-02-2019,21:05:12,успешно,нет,0.0
42266,физ. лицо,получение средств,824.76,наличный,Минск,Белинвестбанк-WHDZ-840,10-02-2009,04:41:06,успешно,нет,0.0
42273,физ. лицо,получение средств,230.25,наличный,Брест,БелАгропромбанк-ABNK-983,05-01-2001,07:03:32,успешно,нет,0.0
42274,физ. лицо,списание средств,117.19,безналичный,Минск,Беларусбанк-IIBG-133,19-05-2010,09:07:58,неправильный ввод пин-кода,да,5.97
42278,физ. лицо,списание средств,273.53,безналичный,Брест,МаксБанк-BHQI-388,22-02-2024,03:47:43,неправильный ввод пин-кода,да,25.16
42288,юр. лицо,списание средств,526.87,безналичный,Брест,Белинвестбанк-SSYJ-398,18-01-2021,05:37:23,успешно,да,11.63
42301,юр. лицо,получение средств,333.76,безналичный,Гродно,Приорбанк-KUAD-994,18-09-2022,09:03:14,успешно,нет,0.0
42302,юр. лицо,получение средств,255.04,безналичный,Гродно,Приорбанк-OMHA-335,13-03-2001,04:48:47,успешно,нет,0.0
42308,физ. лицо,получение средств,148.13,безналичный,Брест,МаксБанк-GPSQ-802,01-08-2009,06:54:30,успешно,нет,0.0
42311,юр. лицо,списание средств,863.23,наличный,Гомель,Белинвестбанк-BNGP-120,08-05-2008,06:08:41,успешно,да,50.72
42313,физ. лицо,списание средств,293.57,безналичный,Гомель,Приорбанк-DKZV-321,03-06-2013,06:53:36,недостаточно средств,нет,0.0
42324,физ. лицо,списание средств,502.02,безналичный,Гродно,МаксБанк-GPMS-948,18-10-2016,04:21:15,недостаточно средств,да,41.47
42325,юр. лицо,списание средств,893.45,безналичный,Брест,МаксБанк-XBZG-972,11-02-2001,03:43:08,недостаточно средств,нет,0.0
42333,физ. лицо,получение средств,549.37,наличный,Могилев,Белинвестбанк-LQOX-820,22-12-2007,03:18:17,успешно,нет,0.0
42337,юр. лицо,списание средств,735.87,безналичный,Гомель,Белинвестбанк-PMKU-396,15-01-2021,10:46:09,неправильный ввод пин-кода,нет,0.0
42341,юр. лицо,получение средств,651.96,наличный,Минск,Приорбанк-VSWJ-813,02-04-2014,06:25:08,успешно,нет,0.0
42345,юр. лицо,списание средств,766.4,безналичный,Могилев,Приорбанк-EWPS-325,04-07-2023,00:23:57,недостаточно средств,да,41.71
42355,физ. лицо,получение средств,261.7,наличный,Минск,Беларусбанк-COZV-606,26-06-2009,02:47:04,успешно,нет,0.0
42366,юр. лицо,получение средств,564.26,безналичный,Минск,БелАгропромбанк-BUOE-435,27-06-2012,21:23:14,успешно,нет,0.0
42373,юр. лицо,получение средств,585.22,наличный,Могилев,Приорбанк-NKLF-725,21-05-2005,17:28:10,успешно,нет,0.0
42375,физ. лицо,получение средств,369.55,безналичный,Могилев,Белинвестбанк-QFGN-888,23-07-2011,20:45:30,успешно,нет,0.0
42379,физ. лицо,получение средств,795.84,безналичный,Минск,Приорбанк-IYHY-363,17-03-2006,03:25:14,успешно,нет,0.0
42380,юр. лицо,списание средств,284.07,безналичный,Гродно,МаксБанк-CGON-634,22-02-2017,02:43:23,недостаточно средств,да,16.06
42394,физ. лицо,списание средств,201.52,наличный,Могилев,Приорбанк-MILI-528,18-11-2021,13:30:45,недостаточно средств,нет,0.0
42404,физ. лицо,получение средств,117.3,безналичный,Минск,БелАгропромбанк-WJKX-880,23-04-2006,23:43:22,успешно,нет,0.0
42407,физ. лицо,списание средств,369.32,наличный,Могилев,МаксБанк-OJYV-173,05-03-2004,14:51:38,неправильный ввод пин-кода,нет,0.0
42413,физ. лицо,списание средств,183.25,безналичный,Минск,БелАгропромбанк-CYOB-143,25-04-2004,01:57:40,неправильный ввод пин-кода,нет,0.0
42421,физ. лицо,получение средств,539.41,наличный,Гродно,БелАгропромбанк-YLZT-671,15-11-2002,19:54:52,успешно,нет,0.0
42428,физ. лицо,списание средств,986.51,наличный,Могилев,Приорбанк-VRTF-654,01-03-2014,16:39:41,успешно,да,45.38
42432,юр. лицо,списание средств,507.37,наличный,Гродно,Приорбанк-SVYO-900,18-10-2021,13:22:11,недостаточно средств,нет,0.0
42433,физ. лицо,получение средств,465.26,безналичный,Витебск,Белинвестбанк-FZIQ-749,20-11-2022,02:51:10,успешно,нет,0.0
42434,юр. лицо,списание средств,184.43,наличный,Гродно,Белинвестбанк-EQUO-617,16-01-2019,08:59:59,недостаточно средств,да,8.98
42436,юр. лицо,получение средств,606.56,безналичный,Гродно,Белинвестбанк-HQDZ-424,25-01-2019,00:57:35,успешно,нет,0.0
42442,физ. лицо,получение средств,543.8,безналичный,Витебск,Белинвестбанк-AQGK-755,22-03-2010,01:09:14,успешно,нет,0.0
42444,юр. лицо,списание средств,60.6,наличный,Гродно,МаксБанк-NEFM-741,29-04-2009,23:45:02,неправильный ввод пин-кода,да,4.99
42447,юр. лицо,списание средств,77.75,безналичный,Гродно,МаксБанк-NLIK-410,24-03-2011,11:33:28,успешно,нет,0.0
42455,физ. лицо,списание средств,826.86,безналичный,Гродно,МаксБанк-HWGS-697,03-08-2000,13:38:09,неправильный ввод пин-кода,да,33.01
42456,юр. лицо,списание средств,16.22,безналичный,Гродно,МаксБанк-RNRK-766,14-08-2005,20:20:22,неправильный ввод пин-кода,да,0.42
42459,физ. лицо,получение средств,995.08,безналичный,Брест,МаксБанк-AGLY-539,07-09-2005,09:57:47,успешно,нет,0.0
42461,физ. лицо,списание средств,128.34,безналичный,Витебск,Белинвестбанк-QGLS-310,25-08-2008,07:44:22,неправильный ввод пин-кода,да,8.74
42465,физ. лицо,списание средств,1.71,безналичный,Брест,МаксБанк-KFMV-259,01-09-2000,08:25:20,недостаточно средств,нет,0.0
42470,юр. лицо,списание средств,978.53,наличный,Гомель,БелАгропромбанк-RTIO-682,05-05-2006,07:05:08,успешно,нет,0.0
42475,юр. лицо,списание средств,863.55,безналичный,Минск,БелАгропромбанк-WMLW-520,28-07-2013,21:59:11,неправильный ввод пин-кода,нет,0.0
42485,юр. лицо,получение средств,716.19,безналичный,Витебск,Беларусбанк-JCKA-093,20-10-2005,22:42:42,успешно,нет,0.0
42489,юр. лицо,получение средств,986.28,наличный,Минск,Белинвестбанк-QHGP-002,23-01-2017,11:05:25,успешно,нет,0.0
42491,юр. лицо,получение средств,80.17,безналичный,Брест,МаксБанк-XVCT-282,02-02-2017,20:42:23,успешно,нет,0.0
42503,юр. лицо,списание средств,397.65,наличный,Витебск,Белинвестбанк-JBFL-729,23-06-2019,08:47:15,успешно,нет,0.0
42504,физ. лицо,списание средств,41.64,наличный,Брест,Беларусбанк-LOJP-251,26-05-2020,17:38:54,неправильный ввод пин-кода,нет,0.0
42507,физ. лицо,получение средств,918.59,безналичный,Могилев,МаксБанк-LFYT-418,10-12-2022,09:12:48,успешно,нет,0.0
42508,юр. лицо,получение средств,509.2,безналичный,Гродно,БелАгропромбанк-OYVU-742,18-03-2023,07:55:35,успешно,нет,0.0
42532,физ. лицо,списание средств,749.95,безналичный,Минск,БелАгропромбанк-RFHA-516,20-11-2008,00:16:00,успешно,да,47.9
42539,физ. лицо,списание средств,19.54,безналичный,Гомель,МаксБанк-PDTK-905,07-11-2013,15:20:42,недостаточно средств,нет,0.0
42540,физ. лицо,списание средств,320.23,безналичный,Могилев,Приорбанк-AYIM-580,10-07-2023,07:45:55,успешно,нет,0.0
42547,физ. лицо,получение средств,471.67,безналичный,Гомель,МаксБанк-UORQ-921,06-05-2007,10:02:54,успешно,нет,0.0
42548,юр. лицо,списание средств,155.66,наличный,Гомель,Беларусбанк-JAFM-121,15-06-2006,20:50:04,успешно,да,15.18
42550,юр. лицо,получение средств,482.77,безналичный,Могилев,Белинвестбанк-RQCS-012,03-09-2012,18:27:14,успешно,нет,0.0
42556,физ. лицо,получение средств,180.72,безналичный,Минск,Приорбанк-GYSQ-256,09-02-2012,01:52:16,успешно,нет,0.0
42558,юр. лицо,получение средств,272.08,безналичный,Витебск,Белинвестбанк-ZJCT-728,09-12-2000,01:01:15,успешно,нет,0.0
42566,юр. лицо,получение средств,292.17,наличный,Витебск,Белинвестбанк-ZDDJ-075,09-12-2001,02:14:14,успешно,нет,0.0
42575,физ. лицо,списание средств,722.67,безналичный,Брест,МаксБанк-NXEE-688,30-12-2010,15:40:31,неправильный ввод пин-кода,да,26.11
42576,физ. лицо,получение средств,370.48,наличный,Могилев,БелАгропромбанк-SVVH-466,07-01-2019,07:03:18,успешно,нет,0.0
42585,физ. лицо,получение средств,393.43,безналичный,Витебск,БелАгропромбанк-BZBI-343,11-10-2019,12:08:30,успешно,нет,0.0
42590,физ. лицо,списание средств,629.84,наличный,Гомель,БелАгропромбанк-DPLJ-450,12-05-2010,08:19:20,успешно,нет,0.0
42592,физ. лицо,списание средств,452.03,наличный,Минск,Приорбанк-VFVL-156,09-09-2014,05:22:49,недостаточно средств,нет,0.0
42595,физ. лицо,получение средств,245.07,наличный,Минск,Приорбанк-JQAZ-759,25-05-2013,19:39:34,успешно,нет,0.0
42600,физ. лицо,списание средств,371.07,безналичный,Брест,БелАгропромбанк-VIDS-274,02-07-2007,18:05:33,неправильный ввод пин-кода,нет,0.0
42602,юр. лицо,получение средств,252.14,безналичный,Гомель,БелАгропромбанк-HGTI-621,05-08-2007,14:33:26,успешно,нет,0.0
42604,физ. лицо,списание средств,166.99,наличный,Могилев,БелАгропромбанк-WRJC-006,21-02-2010,18:00:30,неправильный ввод пин-кода,нет,0.0
42609,физ. лицо,получение средств,127.55,наличный,Минск,БелАгропромбанк-HHQR-800,19-09-2008,18:33:20,успешно,нет,0.0
42625,юр. лицо,списание средств,148.78,наличный,Минск,Беларусбанк-ZSLU-580,22-03-2003,07:47:34,недостаточно средств,да,12.84
42631,юр. лицо,получение средств,757.87,наличный,Гомель,Белинвестбанк-HFWT-370,17-07-2014,00:07:49,успешно,нет,0.0
42636,юр. лицо,получение средств,741.36,безналичный,Витебск,БелАгропромбанк-XBOY-347,25-02-2024,22:25:54,успешно,нет,0.0
42643,юр. лицо,списание средств,794.59,наличный,Минск,БелАгропромбанк-CSJN-455,15-05-2023,16:09:45,неправильный ввод пин-кода,да,55.29
42646,физ. лицо,списание средств,557.38,наличный,Брест,БелАгропромбанк-HTBT-430,13-04-2002,12:13:49,успешно,нет,0.0
42648,физ. лицо,списание средств,897.46,наличный,Гомель,Беларусбанк-ZLSM-746,14-12-2016,11:34:26,неправильный ввод пин-кода,да,20.91
42649,физ. лицо,получение средств,153.51,наличный,Витебск,МаксБанк-JBYP-107,01-07-2009,03:05:24,успешно,нет,0.0
42657,физ. лицо,получение средств,896.7,безналичный,Витебск,Белинвестбанк-KBSQ-726,14-07-2013,01:04:44,успешно,нет,0.0
